Ah,SOC,V,A,Wh,time
134.6263,49.35%,2.539607,-140.0731,-390.2575,3460
135.0154,49.21%,2.530677,-140.0747,-391.2439,3470
135.4045,49.06%,2.521979,-140.0715,-392.2269,3480
135.7935,48.91%,2.513498,-140.0758,-393.2065,3490
136.1826,48.77%,2.505233,-140.0763,-394.1828,3500
136.5717,48.62%,2.497223,-140.077,-395.156,3510
136.9608,48.48%,2.489465,-140.0717,-396.1262,3520
137.3499,48.33%,2.481999,-140.0763,-397.0933,3530
137.739,48.18%,2.474838,-140.0717,-398.0576,3540
138.1281,48.04%,2.467952,-140.0662,-399.0192,3550
138.5172,47.89%,2.461364,-140.076,-399.9781,3560
138.9063,47.74%,2.455162,-140.0659,-400.9346,3570
139.2953,47.60%,2.44922,-140.0731,-401.8887,3580
139.6844,47.45%,2.443619,-140.0694,-402.8406,3590
140.0735,47.30%,2.438301,-140.0641,-403.7903,3600
140.4626,47.16%,2.433365,-140.0728,-404.7381,3610
140.8517,47.01%,2.428761,-140.0708,-405.684,3620
141.2408,46.87%,2.424537,-140.0774,-406.6281,3630
141.6299,46.72%,2.420626,-140.0747,-407.5707,3640
142.019,46.57%,2.417087,-140.0779,-408.5118,3650
142.408,46.43%,2.413879,-140.0765,-409.4517,3660
142.7971,46.28%,2.411044,-140.0662,-410.3903,3670
143.1862,46.13%,2.408514,-140.0664,-411.3279,3680
143.5753,45.99%,2.406331,-140.076,-412.2646,3690
143.9644,45.84%,2.404533,-140.0673,-413.2005,3700
144.3535,45.69%,2.403044,-140.0781,-414.1357,3710
144.7426,45.55%,2.401933,-140.0671,-415.0705,3720
145.1316,45.40%,2.401147,-140.0676,-416.0049,3730
145.5207,45.25%,2.400679,-140.0694,-416.9391,3740
145.9098,45.11%,2.400552,-140.0641,-417.8731,3750
146.2989,44.96%,2.400736,-140.0751,-418.8072,3760
146.688,44.82%,2.401207,-140.0799,-419.7413,3770
147.0771,44.67%,2.402025,-140.0737,-420.6758,3780
147.4662,44.52%,2.403136,-140.0763,-421.6106,3790
147.8552,44.38%,2.404565,-140.0779,-422.5459,3800
148.2443,44.23%,2.406324,-140.0776,-423.4818,3810
148.6334,44.08%,2.408342,-140.0747,-424.4184,3820
149.0225,43.94%,2.410637,-140.0655,-425.3559,3830
149.4116,43.79%,2.413192,-140.0724,-426.2943,3840
149.8007,43.64%,2.416034,-140.0696,-427.2338,3850
150.1898,43.50%,2.419147,-140.0703,-428.1745,3860
150.5788,43.35%,2.422501,-140.0772,-429.1164,3870
150.9679,43.21%,2.426081,-140.0662,-430.0596,3880
151.357,43.06%,2.429916,-140.0788,-431.0043,3890
151.7461,42.91%,2.433919,-140.0738,-431.9506,3900
152.1352,42.77%,2.438193,-140.0685,-432.8984,3910
152.5243,42.62%,2.442639,-140.0671,-433.8479,3920
152.9134,42.47%,2.447263,-140.071,-434.7992,3930
153.3025,42.33%,2.452049,-140.0703,-435.7523,3940
153.6916,42.18%,2.456976,-140.0703,-436.7074,3950
154.0807,42.03%,2.462039,-140.0754,-437.6643,3960
154.4698,41.89%,2.467245,-140.0712,-438.6233,3970
154.8588,41.74%,2.472557,-140.0632,-439.5843,3980
155.2479,41.60%,2.477963,-140.0662,-440.5474,3990
155.637,41.45%,2.483396,-140.077,-441.5126,4000
156.0261,41.30%,2.488917,-140.0685,-442.4799,4010
156.4152,41.16%,2.494483,-140.0728,-443.4494,4020
156.8043,41.01%,2.500072,-140.0724,-444.4211,4030
157.1934,40.86%,2.505688,-140.0747,-445.3949,4040
157.5824,40.72%,2.511312,-140.0714,-446.371,4050
157.9715,40.57%,2.516929,-140.0719,-447.3492,4060
158.3606,40.42%,2.522492,-140.0678,-448.3296,4070
158.7497,40.28%,2.528035,-140.0731,-449.3121,4080
159.1388,40.13%,2.53349,-140.0756,-450.2968,4090
159.5279,39.99%,2.538932,-140.0719,-451.2837,4100
159.917,39.84%,2.544275,-140.0703,-452.2726,4110
160.3061,39.69%,2.549513,-140.076,-453.2635,4120
160.6952,39.55%,2.554675,-140.0721,-454.2566,4130
161.0843,39.40%,2.559697,-140.0726,-455.2516,4140
161.4734,39.25%,2.564633,-140.0717,-456.2485,4150
161.8625,39.11%,2.569435,-140.0715,-457.2473,4160
162.2515,38.96%,2.574062,-140.0728,-458.2479,4170
162.6406,38.81%,2.578572,-140.0721,-459.2504,4180
163.0297,38.67%,2.582865,-140.0703,-460.2545,4190
163.4188,38.52%,2.587015,-140.0703,-461.2603,4200
163.8079,38.38%,2.590971,-140.0683,-462.2676,4210
164.197,38.23%,2.59471,-140.0694,-463.2765,4220
164.5861,38.08%,2.598214,-140.074,-464.2867,4230
164.9752,37.94%,2.601529,-140.071,-465.2983,4240
165.3642,37.79%,2.604578,-140.0659,-466.3111,4250
165.7533,37.64%,2.607388,-140.0696,-467.3251,4260
166.1424,37.50%,2.609957,-140.0655,-468.3401,4270
166.5315,37.35%,2.612219,-140.077,-469.356,4280
166.9206,37.20%,2.614285,-140.0714,-470.3728,4290
167.3097,37.06%,2.616057,-140.0659,-471.3904,4300
167.6988,36.91%,2.61754,-140.0788,-472.4086,4310
168.0879,36.77%,2.618772,-140.0788,-473.4273,4320
168.477,36.62%,2.619733,-140.0774,-474.4464,4330
168.8661,36.47%,2.620376,-140.0726,-475.4659,4340
169.2551,36.33%,2.620745,-140.0666,-476.4855,4350
169.6442,36.18%,2.620812,-140.076,-477.5052,4360
170.0333,36.03%,2.620573,-140.0705,-478.525,4370
170.4224,35.89%,2.620019,-140.0788,-479.5445,4380
170.8115,35.74%,2.619195,-140.0627,-480.5638,4390
171.2006,35.59%,2.618024,-140.0733,-481.5826,4400
171.5897,35.45%,2.616563,-140.0625,-482.601,4410
171.9788,35.30%,2.614822,-140.0694,-483.6188,4420
172.3679,35.16%,2.612789,-140.077,-484.6358,4430
172.757,35.01%,2.610469,-140.0774,-485.6519,4440
173.146,34.86%,2.607894,-140.0751,-486.6672,4450
173.5351,34.72%,2.605087,-140.0733,-487.6813,4460
173.9242,34.57%,2.602032,-140.077,-488.6943,4470
174.3133,34.42%,2.598754,-140.0699,-489.7061,4480
174.7024,34.28%,2.595295,-140.0781,-490.7166,4490
175.0915,34.13%,2.59168,-140.0747,-491.7257,4500
175.4806,33.98%,2.587867,-140.0754,-492.7333,4510
175.8697,33.84%,2.583979,-140.0731,-493.7395,4520
176.2588,33.69%,2.579966,-140.0701,-494.7441,4530
